DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2024-06-01,25.36,15.0,0.75,21.75
2024-06-02,24.71,13.65,1.97,17.53
2024-06-03,27.64,19.53,1.16,22.91
2024-06-04,27.13,13.69,18.26,16.35
2024-06-05,27.28,11.81,0.81,29.53
2024-06-06,24.64,12.21,0.0,31.9
2024-06-07,27.58,11.98,0.54,24.27
2024-06-08,25.64,15.55,0.13,20.42
2024-06-09,26.74,13.41,0.0,29.89
2024-06-10,23.76,10.92,0.0,30.53
2024-06-11,30.24,12.47,0.08,24.19
2024-06-12,30.92,17.73,0.24,23.54
2024-06-13,31.43,18.92,0.05,23.98
2024-06-14,29.39,14.92,0.0,30.54
2024-06-15,28.31,17.31,6.07,14.22
2024-06-16,31.62,22.79,4.27,26.47
2024-06-17,31.38,24.13,0.12,23.06
2024-06-18,30.2,23.69,6.91,17.66
2024-06-19,22.82,17.78,20.01,7.83
2024-06-20,28.86,17.38,2.58,17.09
2024-06-21,31.45,21.44,4.67,25.32
2024-06-22,31.2,21.41,4.23,17.62
2024-06-23,30.16,18.03,0.14,30.07
2024-06-24,32.63,21.83,1.86,28.32
2024-06-25,31.12,23.26,1.14,22.21
2024-06-26,28.87,18.89,7.39,29.47
2024-06-27,27.35,16.44,12.59,15.57
2024-06-28,28.1,18.37,16.44,8.71
2024-06-29,25.94,15.32,1.3,28.06
2024-06-30,24.22,12.01,0.0,30.27
